,id,Name,Full_Address,Street_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Lat,Lng,Virtual_Tour,Claimed,Category,Rating,Reviews,Amenities,Photos,Main_Image_URL,Sub_Title,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL,unique ID
bs4,89,Thai Garden,"100 West St, Bristol BS3 3LR",,100 West St,Bristol,BS3 3LR,C9QW+28 Bristol,,0117 963 6113,,51.4376111,-2.6041647,No,No,Thai restaurant,4.4,103 reviews,,6 Photos,https://lh5.googleusercontent.com/p/AF1QipMTRNW1dxpmgqhSgTUZFQy4pySdRsp4C1os3lji=w408-h459-k-no,,Closed,"12–2:30pm, 6–11pm","12–2:30pm, 6–11pm","12–2:30pm, 6–11pm","12–2:30pm, 6–11pm","12–2:30pm, 6–11pm","12–2:30pm, 6–11pm","https://www.google.com/maps/place/Thai+Garden/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718c2e678cb36f:0xeabfe25884a35817!8m2!3d51.4376111!4d-2.6041647?hl=en",Thai Garden51.4376111-2.6041647
bs4,88,Franco Manca,"20 Clare St, Bristol BS1 1YG",,20 Clare St,Bristol,BS1 1YG,FC33+GM Bristol,francomanca.co.uk,0117 990 2110,askus@francomanca.co.uk,51.4537787,-2.5958079,No,Yes,Pizza restaurant,4.4,711 reviews,,222+ Photos,https://lh5.googleusercontent.com/p/AF1QipPl8IoZqL-aZDPWajuh_Xqx-8A8ALG1lXY0j3gM=w408-h229-k-no,,11:30am–11pm,11:30am–11pm,11:30am–11pm,11:30am–11pm,11:30am–11:30pm,11:30am–11:30pm,12–10pm,"https://www.google.com/maps/place/Franco+Manca/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e7809f2706d:0x8f5953a62853cebf!8m2!3d51.4537787!4d-2.5958079?hl=en",Franco Manca51.4537787-2.5958079
bs4,87,Chomp,"10 St Nicholas St, Bristol BS1 1UQ",,10 St Nicholas St,Bristol,BS1 1UQ,FC34+JW Bristol,chompgrill.co.uk,07872 354375,hello@chompgrill.co.uk,51.4540488,-2.5926497,Yes,Yes,Steak house,4.6,354 reviews,,123+ Photos,https://lh5.googleusercontent.com/p/AF1QipNR1Ehh8eNM9I2R1SCmafhke_KpC8fOb5XG9E6Q=w429-h200-k-no,,6–11:30pm,6–11:30pm,6–11:30pm,6–11:30pm,6–11:30pm,5–11:30pm,6–9pm,"https://www.google.com/maps/place/Chomp/@51.4540488,-2.6101592,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e7832c254e9:0xb5697e7a9bff0516!8m2!3d51.4540488!4d-2.5926497?hl=en",Chomp51.4540488-2.5926497
bs4,86,Paprika,"16-18 Gilda Cl, Bristol BS14 9HY",,16-18 Gilda Cl,Bristol,BS14 9HY,CC7R+73 Bristol,paprikabristol.uk,01275 830014,macz-rahman@hotmail.co.uk,51.4131342,-2.559848,No,Yes,Indian restaurant,4.6,105 reviews,,23 Photos,https://lh5.googleusercontent.com/p/AF1QipNvMrbkX7Fv74HCCBeAGbQsrmZ28ZZGpsc80xPo=w408-h306-k-no,,"12–2pm, 5:45–11pm","12–2pm, 5:45–11pm","12–2pm, 5:45–11pm","12–2pm, 5:45–11pm",5:30–11:30pm,"12–2pm, 5:30–11:30pm","12–2pm, 5:45–11pm","https://www.google.com/maps/place/Paprika/@51.4131342,-2.5773575,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718ec5f430d06f:0x1a7728bdff3955b8!8m2!3d51.4131342!4d-2.559848?hl=en",Paprika51.4131342-2.559848
bs4,85,Paco Tapas,"3A, The General, Lower Guinea St, Bristol BS1 6SY","3A,  The General",Lower Guinea St,Bristol,BS1 6SY,CCW4+V9 Bristol,pacotapas.co.uk,0117 925 7021,hello@pacotapas.co.uk,51.4471428,-2.5940602,No,No,Restaurant,4.8,124 reviews,,120+ Photos,https://lh5.googleusercontent.com/p/AF1QipPKuwZohSkNpT6biCVGo8Fqrwj58SADAmkZVqNY=w408-h306-k-no,,Closed,5–11pm,5–11pm,5–11pm,"12–3pm, 5–11pm","12–3pm, 5–11pm",Closed,"https://www.google.com/maps/place/Paco+Tapas/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e7f77c230af:0x90dcc945daf40ec2!8m2!3d51.4471428!4d-2.5940602?hl=en",Paco Tapas51.4471428-2.5940602
bs4,84,Harvey Nichols,"27 Philadelphia Street, Bristol BS1 3BZ",,27 Philadelphia Street,Bristol,BS1 3BZ,FC47+VF Bristol,harveynichols.com,0117 916 8898,"customerservices@harveynichols.com,stylist@harveynichols.com,corporate.services@harveynichols.com",51.4571726,-2.5863424,No,Yes,Restaurant,4.4,36 reviews,,62+ Photos,https://lh5.googleusercontent.com/p/AF1QipPTZDI3rHsUM37RcEhkqYnWPUvla0nrCImod_c3=w408-h306-k-no,,10am–6pm,10am–6pm,10am–6pm,10am–8pm,10am–7pm,10am–7pm,11am–5pm,"https://www.google.com/maps/place/Harvey+Nichols/@51.4423737,-2.5632077,14z/data=!3m1!5s0x48718e71ac1ee187:0xd1063be39d48ad0b!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e7ebff802f1:0x7f57665f2184d2fc!8m2!3d51.4571726!4d-2.5863424?hl=en",Harvey Nichols51.4571726-2.5863424
bs4,83,Knowle Charcoal Grill,"Unit 3, 7 Broad Walk, Bristol BS4 2RA",Unit 3,7 Broad Walk,Bristol,BS4 2RA,CCMM+J2 Bristol,knowlecharcoalgrill.co.uk,0117 300 9994,,51.434058,-2.5674121,No,Yes,Kebab Shop,2.9,42 reviews,,2 Photos,//geo3.ggpht.com/cbk?panoid=qBrbIl31ddlc1EeMRBgD1Q&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=285.42368&pitch=-1.6091821&thumbfov=100,,4–11:45pm,4–11:45pm,4–11:45pm,4–11:45pm,4pm–12:45am,4pm–12:45am,4–11:45pm,"https://www.google.com/maps/place/Knowle+Charcoal+Grill/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718eed5b73be6d:0x17eba3d0f517b9a7!8m2!3d51.434058!4d-2.5674121?hl=en",Knowle Charcoal Grill51.434058-2.5674121
bs4,82,Subway,"Brislington Retail Park , Pod Unit 1, Bristol BS4 5NG",Brislington Retail Park,Pod Unit 1,Bristol,BS4 5NG,CFH4+PC Bristol,subway.co.uk,0117 971 9775,,51.4293131,-2.5439819,No,No,Sandwich shop,4.2,47 reviews,,3 Photos,https://lh5.googleusercontent.com/p/AF1QipO0x2So4nQGFzR14PyaA26weCyuM07fin0dJ25Z=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/Subway/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718f1e022e4471:0x2906fddbd1f830b!8m2!3d51.4293131!4d-2.5439819?hl=en",Subway51.4293131-2.5439819
bs4,81,Casamia,"8, The General, Lower Guinea St, Bristol BS1 6FU","8,  The General",Lower Guinea St,Bristol,BS1 6FU,CCW4+WC Bristol,casamiarestaurant.co.uk,0117 959 2884,"info@casamiarestaurant.co.uk,careers@casamiarestaurant.co.uk,press@sanchez-brothers.co.uk",51.4472578,-2.5939725,No,Yes,Fine dining restaurant,4.9,146 reviews,,270+ Photos,https://lh5.googleusercontent.com/p/AF1QipMtRCMD9JLIyFfnB5VM_QXGqjSk1uM6Y8nja2Td=w408-h306-k-no,,Closed,Closed,6:45–8:15pm,"12–1:30pm, 6:45–8:15pm","12–1:30pm, 6:45–8:15pm","12–1:30pm, 6:15–9:30pm",12–1:30pm,"https://www.google.com/maps/place/Casamia/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x4871920dd760520d:0x315c85c16c9dc8b3!8m2!3d51.4472578!4d-2.5939725?hl=en",Casamia51.4472578-2.5939725
bs4,80,Giuseppe's,"59 Baldwin St, Bristol BS1 1QZ",,59 Baldwin St,Bristol,BS1 1QZ,FC34+FM Bristol,giuseppesitalianrestaurant.co.uk,0117 926 4869,,51.4537085,-2.5932859,No,Yes,Italian restaurant,4.5,224 reviews,,36 Photos,https://lh5.googleusercontent.com/p/AF1QipNh-Keit7UH2XN6BN2EfG2eNoBVbKRtrxAzpa2L=w408-h306-k-no,,"12–2:30pm, 5:30–11pm","12–2:30pm, 5:30–11pm","12–2:30pm, 5:30–11pm","12–2:30pm, 5:30–11pm",12–11pm,12–11pm,Closed,"https://www.google.com/maps/place/Giuseppe's/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e78364d3ddb:0x99fbc447a4639892!8m2!3d51.4537085!4d-2.5932859?hl=en",Giuseppe's51.4537085-2.5932859
bs4,79,Marco's Olive Branch,"76 Victoria St, Bristol BS1 6DR",,76 Victoria St,Bristol,BS1 6DR,FC27+M5 Bristol,marcosolivebranch.com,0117 922 6688,olives@marcosolivebranch.com,51.4516629,-2.5871212,Yes,No,Italian restaurant,4.1,167 reviews,,60+ Photos,https://lh5.googleusercontent.com/p/AF1QipO9BErwMVi9vo575k1UJ4cgP9s6zyY4Dof2oasS=w408-h200-k-no-pi-2.9338646-ya349.09265-ro-0-fo100,,"12–2:30pm, 6–10:30pm","12–2:30pm, 6–10:30pm","12–2:30pm, 6–10:30pm","12–2:30pm, 6–10:30pm","12–2:30pm, 6–10:30pm",6–10:30pm,Closed,"https://www.google.com/maps/place/Marco's+Olive+Branch/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e7bba9e7cc5:0x48ca637f498f7c7f!8m2!3d51.4516629!4d-2.5871212?hl=en",Marco's Olive Branch51.4516629-2.5871212
bs4,78,Beirut Mezze,"13a Small St, Bristol BS1 1DE",,13a Small St,Bristol,BS1 1DE,FC43+4W Bristol,beirutmezze.com,0117 927 7937,,51.4553382,-2.5952297,No,Yes,Lebanese restaurant,4.5,462 reviews,,162+ Photos,https://lh5.googleusercontent.com/p/AF1QipMCp1WBK0ck_EH_xOqlBYsCStheXIKzbpEtEMM=w408-h306-k-no,,"12–3pm, 6–11pm","12–3pm, 6–11pm","12–3pm, 6–11pm","12–3pm, 6–11pm","12–3pm, 6–11pm",12–11pm,12–10pm,"https://www.google.com/maps/place/Beirut+Mezze/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e77fafc0001:0x8fa6bab9a9667ca3!8m2!3d51.4553382!4d-2.5952297?hl=en",Beirut Mezze51.4553382-2.5952297
bs4,77,Adelina Yard,"Queen Quay, Welsh Back, Bristol BS1 4SL",Queen Quay,Welsh Back,Bristol,BS1 4SL,FC25+62 Bristol,adelinayard.com,0117 911 2112,info@adelinayard.com,51.4505453,-2.5924714,No,Yes,Modern European restaurant,4.7,149 reviews,,152+ Photos,https://lh5.googleusercontent.com/p/AF1QipOys1YrTVXYFZHa6Jo758YRkqkZx_KHGiUlc7_x=w408-h306-k-no,,Closed,"12–2:30pm, 6–9:30pm","12–2:30pm, 6–9:30pm","12–2:30pm, 6–9:30pm","12–2:30pm, 6–9:30pm","12–2:30pm, 6–9:30pm",Closed,"https://www.google.com/maps/place/Adelina+Yard/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e78d8d7f513:0x21dad42681eca08d!8m2!3d51.4505453!4d-2.5924714?hl=en",Adelina Yard51.4505453-2.5924714
bs4,76,Cafe Conscious,"182 Avonvale Rd, Bristol BS5 9SX",,182 Avonvale Rd,Bristol,BS5 9SX,FC3Q+X8 Bristol,cafeconsciousbristol.co.uk,0117 955 7883,info@cafeconsciousbristol.co.uk,51.4549655,-2.5616356,No,Yes,Jamaican restaurant,4.6,42 reviews,,13 Photos,https://lh5.googleusercontent.com/p/AF1QipOgogVhmfmJYYZCq0WplEjluH99bVHsI9qtYtRJ=w408-h271-k-no,,Closed,11am–9pm,11am–9pm,11am–9pm,11am–11pm,11am–11pm,Closed,"https://www.google.com/maps/place/Cafe+Conscious/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e5aaf9b6d9b:0x222b0255fa35738f!8m2!3d51.4549655!4d-2.5616356?hl=en",Cafe Conscious51.4549655-2.5616356
bs4,75,McDonald's,"Hengrove Leisure Park, Hengrove Way, HENGROVE, Bristol BS14 0HR","Hengrove Leisure Park,  Hengrove Way",HENGROVE,Bristol,BS14 0HR,CC86+PH Bristol,mcdonalds.co.uk,01275 831271,,51.4168205,-2.5886192,No,Yes,American restaurant,3.7,762 reviews,,78+ Photos,https://lh5.googleusercontent.com/p/AF1QipN_xWBo57Z8pcllbtG9aUX1c7MMoj02FptXgrUk=w408-h229-k-no,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/place/McDonald's/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718ea6919311bd:0xb7451dc5d948bc96!8m2!3d51.4168205!4d-2.5886192?hl=en",McDonald's51.4168205-2.5886192
bs4,74,Pizza Hut Restaurants,"Unit 12, Imperial Park, Wills Way, Bristol BS13 7TJ","Unit 12,  Imperial Park",Wills Way,Bristol,BS13 7TJ,CC82+3C Bristol,pizzahut.co.uk,0117 935 9555,"pizzahut@text100.com,PizzaHut@text100.com",51.4151677,-2.5989592,No,Yes,Pizza restaurant,3.6,146 reviews,,37 Photos,https://lh5.googleusercontent.com/p/AF1QipM2Ygzzo95CsYzpMIK6ikTHUmsVOWfD1OL2428I=w408-h545-k-no,,11am–9pm,11am–9pm,11am–9pm,11am–9pm,11am–10pm,11am–10pm,11am–9pm,"https://www.google.com/maps/place/Pizza+Hut+Restaurants/@51.4151677,-2.6164687,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718c1b79d4c17f:0x4538f6c91b34b00c!8m2!3d51.4151677!4d-2.5989592?hl=en",Pizza Hut Restaurants51.4151677-2.5989592
bs4,73,Three Brothers Burgers,"Welsh Back, Bristol BS1 4SB",,Welsh Back,Bristol,BS1 4SB,FC24+VX Bristol,threebrothersburgers.co.uk,0117 927 7050,info@threebrothersburgers.co.uk,51.45225,-2.5925312,No,Yes,Hamburger restaurant,4.4,"2,193 reviews",,752+ Photos,https://lh5.googleusercontent.com/p/AF1QipPJheoOMzXUYN4HvG6wj6YgXnvhfkkMCZ5jIgO6=w408-h305-k-no,,12–11pm,12–11pm,12–11pm,12–11pm,11:45am–11pm,11:30am–11pm,11:30am–8pm,"https://www.google.com/maps/place/Three+Brothers+Burgers/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e78dfd08ec7:0x822d6a8cce68665d!8m2!3d51.45225!4d-2.5925312?hl=en",Three Brothers Burgers51.45225-2.5925312
bs4,72,Golden Kebab House,"3 Marshall Walk, Bristol BS4 1TR",,3 Marshall Walk,Bristol,BS4 1TR,CCC3+4W Bristol,,0117 239 8481,,51.420346,-2.595148,No,Yes,Fast food restaurant,3.9,7 reviews,,12 Photos,https://lh5.googleusercontent.com/p/AF1QipO_dRiHzXM1BFNSOzR5zYEI0s1QGaOU05umHmD2=w408-h229-k-no,,12–10pm,12–10pm,12–10pm,12–10pm,12–10pm,12–10pm,2–10pm,"https://www.google.com/maps/place/Golden+Kebab+House/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718d7a718653a5:0xd859e4717a739611!8m2!3d51.420346!4d-2.595148?hl=en",Golden Kebab House51.420346-2.595148
bs4,71,Banco Lounge,"107 Wells Rd, Bristol BS4 2BS",,107 Wells Rd,Bristol,BS4 2BS,CCRC+JX Bristol,thelounges.co.uk,0117 908 6010,info@loungers.co,51.441536,-2.577584,No,Yes,Lounge,4.1,318 reviews,,34 Photos,https://lh5.googleusercontent.com/p/AF1QipNsir980KXmHyPURK-gVQQVMa8QLoDcLOVkPYtv=w408-h306-k-no,,9am–11pm,9am–11pm,9am–11pm,9am–11pm,9am–11pm,9am–11pm,9am–11pm,"https://www.google.com/maps/place/Banco+Lounge/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e8912b404a5:0x5ea3dfcfdc5e6f17!8m2!3d51.441536!4d-2.577584?hl=en",Banco Lounge51.441536-2.577584
bs4,70,Oriental Taste,"Birchwood Rd, Bristol BS4 4QH",,Birchwood Rd,Bristol,BS4 4QH,CFX5+96 Bristol,,0117 977 8515,,51.4484627,-2.541936,No,No,Chinese Takeaway,4.5,10 reviews,,,//geo1.ggpht.com/cbk?panoid=pS3veXM-WoCAKVJdPBxvGg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=106.12732&pitch=0&thumbfov=100,,"12–2pm, 5:30–10:30pm",Closed,"12–2pm, 5:30–10:30pm","12–2pm, 5:30–10:30pm","12–2pm, 5:30–10:30pm","12–2pm, 5:30–10:30pm",5–10pm,"https://www.google.com/maps/place/Oriental+Taste/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718f00bd7fb27d:0xe6a5699ad1891c4!8m2!3d51.4484627!4d-2.541936?hl=en",Oriental Taste51.4484627-2.541936
bs4,69,Hotel Ibis Bristol Temple Meads Quay,"Avon St, Bristol BS2 0PS",,Avon St,Bristol,BS2 0PS,FC2C+RC Bristol,accorhotels.com,0117 319 9001,nom@domaine.com,51.4520026,-2.5789625,No,Yes,,4,663 reviews,"Free Wi-Fi, Paid parking, Air-conditioned, Laundry service",462+ Photos,https://lh5.googleusercontent.com/p/AF1QipPH2dfS4A87YInKlEE7tdXSh4gmifpXfqpg0qju=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/Hotel+Ibis+Bristol+Temple+Meads+Quay/@51.4423737,-2.5632077,14z/data=!4m9!1m3!2m2!1sbs4+restaurants!6e5!3m4!1s0x48718e6455b19417:0xe614a705af362af0!8m2!3d51.4520026!4d-2.5789625?hl=en",Hotel Ibis Bristol Temple Meads Quay51.4520026-2.5789625
