Keyword,Name,Full_Address,Street_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Lat,Lng,Virtual_Tour,Claimed,Closed,Category,Rating,5_Star,4_Star,3_Star,2_Star,1_Star,Total_Reviews,Amenities,Photos,Main_Image_URL,Sub_Title,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL
art near london E11,The Print House,"18 Ashwin St, Dalston, London E8 3DL",18 Ashwin St,Dalston,London,E8 3DL,"GWWG+Q4 Dalston, London",,020 7275 0825,,51.5468927,-0.0746787,No,No,Closed.,Art gallery,4.3,5,4,2,0,0,11,,,//geo0.ggpht.com/cbk?panoid=nFzX9G4D7up4wc7CFVhwqg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=38.138863&pitch=0&thumbfov=100,,12–11pm,12–11pm,12–11pm,12–11pm,12–11pm,12–11pm,12–11pm,"https://www.google.com/maps/place/The+Print+House/@51.5691556,-0.007916,14z/data=!4m8!1m2!2m1!1sart+near+london+E11!3m4!1s0x48761c8d8c7662ad:0x8adace7ebbe6f157!8m2!3d51.5468927!4d-0.0746787?hl=en"
art near london E12,The Royal Regency,"501 High St N, Manor Park, London E12 6TH",501 High St N,Manor Park,London,E12 6TH,G2XX+X3 London,royalregency.co.uk,020 8478 6020,info@royalregency.co.uk,51.5499866,0.0476972,No,Yes,Closed.,Wedding venue,4.2,266,165,91,16,20,558,,956+ Photos,https://lh5.googleusercontent.com/p/AF1QipPLIp5kJsAkpH_HRM8X17mXRN1j0lXlgaSIDp5P=w408-h272-k-no,,11am–8pm,11am–8pm,11am–8pm,11am–8pm,11am–8pm,11am–8pm,11am–8pm,"https://www.google.com/maps/place/The+Royal+Regency/@51.5491178,-0.0594123,13z/data=!4m8!1m2!2m1!1sart+near+london+E12!3m4!1s0x47d8a65330ce0e31:0x273a2077f2896f1b!8m2!3d51.5499866!4d0.0476972?hl=en"
art near london E12,The Shade Centre,"62 Church Rd, Manor Park, London E12 6AF",62 Church Rd,Manor Park,London,E12 6AF,G3X4+65 London,theshade.org,020 7998 7768,info@theshade.org,51.548076,0.0554601,No,Yes,,Community centre,4.6,45,3,2,0,4,54,,4 Photos,https://lh5.googleusercontent.com/p/AF1QipNPsLDQhESxWPPATvvlpZ7Qwtl5958fB5lGDqXl=w606-h240-k-no,,,,,,,,,"https://www.google.com/maps/place/The+Shade+Centre/@51.5491178,-0.0594123,13z/data=!4m8!1m2!2m1!1sart+near+london+E12!3m4!1s0x4876014575153ec9:0x351cf92ab4b08729!8m2!3d51.548076!4d0.0554601?hl=en"
art near london E12,Gurumu Taekwondo,"The Renewal Programme Centre, 395 High Street North, Manor Park E12 6PG",The Renewal Programme Centre,395 High Street North,Manor,Park E12 6PG,"G2WX+6H East Ham, London",,07931 709140,,51.545564,0.04897,No,Yes,Closed today,Martial arts school,5,18,0,0,0,0,18,,11 Photos,https://lh5.googleusercontent.com/p/AF1QipPWF_y2csUqHex01spUR_G5TXIC-XbJy8LzX1oO=w408-h272-k-no,,4:15–10pm,4:15–9pm,4:15–10pm,4:15–9pm,Closed,Closed,Closed,"https://www.google.com/maps/place/Gurumu+Taekwondo/@51.5491178,-0.0594123,13z/data=!4m8!1m2!2m1!1sart+near+london+E12!3m4!1s0x47d8a64d6e82cb8b:0xacda36a79f36ad4f!8m2!3d51.545564!4d0.04897?hl=en"
art near london E13,Tees4u Printing and Embroidery Services,"GROUND FLOOR, G1, 776-778 Barking Rd, East Ham, London E13 9PJ","GROUND FLOOR,  G1",East Ham,London,E13 9PJ,G2JP+2X London,printteeshirt.co.uk,020 3759 8020,,51.5300418,0.0373952,No,Yes,Closed today,Screen Printing Supply Shop,4.7,28,1,0,0,2,31,,271+ Photos,https://lh5.googleusercontent.com/p/AF1QipNo9e1xfNKkIuVK2MfsiQqYMCQP1Dqh-u-iKvDD=w408-h544-k-no,,9:30am–6pm,9:30am–6pm,9:30am–6pm,9:30am–6pm,9:30am–6pm,10:30am–5pm,Closed,"https://www.google.com/maps/place/Tees4u+Printing+and+Embroidery+Services/@43.552198,-5.2538409,4z/data=!4m8!1m2!2m1!1sart+near+london+E13!3m4!1s0x47d8a7cf3abb8d17:0x6aa089d946831e0f!8m2!3d51.5300418!4d0.0373952?hl=en"
art near london E13,The Swift Youth Club,"387 Barking Rd, Plaistow, London E13 8AL",387 Barking Rd,Plaistow,London,E13 8AL,G2FF+5F London,theswift.org.uk,020 7474 6603,,51.522923,0.023742,No,Yes,Closed today,Charity,3.8,6,1,2,0,2,11,,5 Photos,https://lh5.googleusercontent.com/p/AF1QipMarrzOuVf5yRTE7KhlaYd1FdBzy7gTAfnleWQE=w408-h271-k-no,,Closed,Closed,Closed,Closed,7–10pm,Closed,Closed,"https://www.google.com/maps/place/The+Swift+Youth+Club/@43.552198,-5.2538409,4z/data=!4m8!1m2!2m1!1sart+near+london+E13!3m4!1s0x47d8a7dd7f67989b:0x9a7d6ce5c74a723!8m2!3d51.522923!4d0.023742?hl=en"
art near london E13,Applecart Arts,"170 Harold Rd, Plaistow, London E13 0SE",170 Harold Rd,Plaistow,London,E13 0SE,"G2MG+MW Plaistow, London",applecartarts.com,020 3475 4280,will@applecartarts.com,51.5342017,0.0273338,No,No,,Art Centre,4.7,14,3,1,0,0,18,,2 Photos,https://lh5.googleusercontent.com/p/AF1QipNYrFFHEleNco2gqjbYSkKz5p8j60Yv58eL3v7A=w408-h725-k-no,,,,,,,,,"https://www.google.com/maps/place/Applecart+Arts/@43.552198,-5.2538409,4z/data=!4m8!1m2!2m1!1sart+near+london+E13!3m4!1s0x47d8a7c0efa9e6a3:0x93636a91db4e5774!8m2!3d51.5342017!4d0.0273338?hl=en"
art near london E14,Half Moon Theatre,"43 White Horse Rd, Stepney, London E1 0ND",43 White Horse Rd,Stepney,London,E1 0ND,GX75+8G London,halfmoon.org.uk,020 7709 8900,admin@halfmoon.org.uk,51.5132552,-0.0411389,No,Yes,,Performing arts theatre,4.6,48,12,4,0,1,65,,53+ Photos,https://lh5.googleusercontent.com/p/AF1QipOA4ehRrQZzzBUjWVS0PmNEQbxFPjD-nMJttXgQ=w408-h288-k-no,,,,,,,,,"https://www.google.com/maps/place/Half+Moon+Theatre/@51.5089813,-0.0336307,14z/data=!4m8!1m2!2m1!1sart+near+london+E14!3m4!1s0x487602d362752a41:0xe433bfeb35779f14!8m2!3d51.5132552!4d-0.0411389?hl=en"
art near london E15,Trieu Nails London,"105 Roman Rd, Bethnal Green, London E2 0QN",105 Roman Rd,Bethnal Green,London,E2 0QN,GXH2+C6 London,trieunails.com,020 8981 8161,hello@trieunails.com,51.528619,-0.049382,No,Yes,Closed.,Nail salon,4.6,197,5,5,5,13,225,,68+ Photos,,,1–10pm,1–10pm,1–10pm,1–10pm,1–10pm,12–7pm,12–7pm,"https://www.google.com/maps/place/Trieu+Nails+London/@51.528619,-0.0581367,15z/data=!4m8!1m2!2m1!1sart+near+london+E15!3m4!1s0x48761cd8fb764e07:0x1f703a879d29ffc4!8m2!3d51.528619!4d-0.049382?hl=en"
art near london E15,Stratford Circus Arts Centre,"Theatre Square, London E15 1BX",,Theatre Square,London,E15 1BX,G2V2+4Q London,stratford-circus.com,020 8279 1080,info@stratford-circus.com,51.5428287,0.0019768,No,Yes,,Performing arts theatre,4.4,138,62,27,5,4,236,,105+ Photos,,,,,,,,,,"https://www.google.com/maps/place/Stratford+Circus+Arts+Centre/@51.5350511,-0.0129205,15z/data=!4m8!1m2!2m1!1sart+near+london+E15!3m4!1s0x47d8a789c2db4c4b:0x83f4b1b1e18298e2!8m2!3d51.5428287!4d0.0019768?hl=en"
art near london E15,"The Art Pavilion, Mile End Park","Clinton Rd, Mile End, London E3 4QY",Clinton Rd,Mile End,London,E3 4QY,GXG6+VX London,towerhamlets.gov.uk,,,51.5271417,-0.0375181,No,Yes,Closed.,Art gallery,4.3,58,38,14,2,2,114,,208+ Photos,,,12–7pm,12–7pm,12–7pm,12–7pm,12–7pm,12–7pm,12–7pm,"https://www.google.com/maps/place/The+Art+Pavilion,+Mile+End+Park/@51.5271417,-0.0462728,15z/data=!4m8!1m2!2m1!1sart+near+london+E15!3m4!1s0x48761d250aa9d1ad:0x58608d68d498f2fd!8m2!3d51.5271417!4d-0.0375181?hl=en"
art near london E15,Auto Italia,"44 Bonner Rd, Globe Town, London E2 9JS",44 Bonner Rd,Globe Town,London,E2 9JS,GWJX+X3 London,autoitaliasoutheast.org,020 8983 4115,info@autoitaliasoutheast.org,51.5324108,-0.052362,No,Yes,Closed.,Art gallery,4.8,12,0,0,1,0,13,,8 Photos,https://lh5.googleusercontent.com/p/AF1QipOHzAKDoQ8i3Ar2D60E2NrXuhQJr91Qzqgdrj8Y=w426-h240-k-no,,Closed,Closed,Closed,12–5pm,12–5pm,12–5pm,12–5pm,"https://www.google.com/maps/place/Auto+Italia/@51.5324108,-0.0611167,15z/data=!4m8!1m2!2m1!1sart+near+london+E15!3m4!1s0x48761b167fe6c417:0x9eb85a42df6d12d3!8m2!3d51.5324108!4d-0.052362?hl=en"
art near london E17,William Morris Gallery,"Lloyd Park, Forest Rd, Walthamstow, London E17 4PP","Lloyd Park,  Forest Rd",Walthamstow,London,E17 4PP,HXRH+FV London,wmgallery.org.uk,020 8496 4390,wmg.enquiries@walthamforest.gov.uk,51.5912407,-0.0202685,No,Yes,Closed.,Museum,4.6,498,195,37,4,4,738,,1209+ Photos,https://lh5.googleusercontent.com/p/AF1QipMUrC68_FU4cVtIhyMmo-UutGpJxyJNvgnBtQUI=w408-h271-k-no,,Closed,10am–5pm,10am–5pm,10am–5pm,10am–5pm,10am–5pm,10am–5pm,"https://www.google.com/maps/place/William+Morris+Gallery/@51.5884809,-0.0389015,14z/data=!4m8!1m2!2m1!1sart+near+london+E17!3m4!1s0x48761de798edd27f:0x23bd1d327b8cfe46!8m2!3d51.5912407!4d-0.0202685?hl=en"
art near london E17,Locus Of Walthamstow,"1 Chingford Rd, Walthamstow, London E17 4PW",1 Chingford Rd,Walthamstow,London,E17 4PW,HXRM+52 London,lowalthamstow.com,,"info@lowalthamstow.com,support@schedulista.com,8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com",51.5904254,-0.0174462,No,Yes,Closed.,Co-working Space,4.1,11,5,3,1,1,21,,16 Photos,https://lh5.googleusercontent.com/p/AF1QipPzkdiJLAqoznTEXaJF7O5byGW4QPg4VfKZTGyy=w408-h271-k-no,,9am–6pm,9am–6pm,9am–6pm,9am–6pm,9am–6pm,9am–6pm,9am–6pm,"https://www.google.com/maps/place/Locus+Of+Walthamstow/@51.5884809,-0.0389015,14z/data=!4m8!1m2!2m1!1sart+near+london+E17!3m4!1s0x48761de680e6a42d:0x48c45d8ff2855c87!8m2!3d51.5904254!4d-0.0174462?hl=en"
art near london E17,Big Creative Education - BCA Campus,"Clifton Ave, Walthamstow, London E17 6HL",Clifton Ave,Walthamstow,London,E17 6HL,HXQ6+8M London,bigcreative.education,020 8498 3300,victoria.spence@bigcreative.education,51.5882518,-0.03834,No,Yes,Closed today,Art school,4.3,13,5,1,1,1,21,,8 Photos,https://lh5.googleusercontent.com/p/AF1QipOrvrE3Dz5seDGq6AemUhXbys9Bgy7zehzm4vje=w408-h725-k-no,,8am–8pm,8am–8pm,8am–8pm,8am–8pm,8am–8pm,Closed,Closed,"https://www.google.com/maps/place/Big+Creative+Education+-+BCA+Campus/@51.5884809,-0.0389015,14z/data=!4m8!1m2!2m1!1sart+near+london+E17!3m4!1s0x48761dd38bbfffef:0xc7f2b2a878ae4346!8m2!3d51.5882518!4d-0.03834?hl=en"
art near london E18,Creative Biscuit,"61 George Ln, South Woodford, London E18 1JJ",61 George Ln,South Woodford,London,E18 1JJ,H2RH+HC London,creativebiscuit.co.uk,020 8532 2824,8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com,51.5914802,0.0285263,No,Yes,Closed.,Craft shop,4.3,62,27,10,4,4,107,,29 Photos,https://lh5.googleusercontent.com/p/AF1QipN7oeOJl_6bhtGgsn6IiYV5M9QBf_1FKqVa1MB5=w408-h544-k-no,,9am–5pm,9am–5pm,9am–5pm,9am–6pm,9am–6pm,9am–6pm,10am–4pm,"https://www.google.com/maps/place/Creative+Biscuit/@51.5610036,-0.1199123,12z/data=!4m8!1m2!2m1!1sart+near+london+E18!3m4!1s0x47d8a736d853bee7:0xdbd28e831d5555d8!8m2!3d51.5914802!4d0.0285263?hl=en"
art near london E18,The Art Shop,"117c High St, Wanstead, London E11 2RL",117c High St,Wanstead,London,E11 2RL,H2GG+RX London,theartshopwanstead.co.uk,020 8989 0154,theartshopuk@gmail.com,51.577074,0.027435,No,Yes,Closed.,Craft shop,4.3,16,3,1,0,3,23,,15 Photos,https://lh5.googleusercontent.com/p/AF1QipPTEFcHsUrNcuApW36e_NIbag0Cbg9zdtUuauZ-=w408-h725-k-no,,9:30am–5:30pm,9:30am–5:30pm,9:30am–5:30pm,9:30am–5:30pm,9:30am–5:30pm,9am–5:30pm,11am–4pm,"https://www.google.com/maps/place/The+Art+Shop/@51.5610036,-0.1199123,12z/data=!4m8!1m2!2m1!1sart+near+london+E18!3m4!1s0x47d8a64a06173dbb:0xe1cc7b7899bf3214!8m2!3d51.577074!4d0.027435?hl=en"
art near london E18,Images in Frames,"59 Wood St, Walthamstow, London E17 3JX",59 Wood St,Walthamstow,London,E17 3JX,HXQW+Q9 London,imagesinframes.com,020 8520 7604,"art@imagesinframes.com,info@imagesinframes.com",51.589378,-0.00409,Yes,No,Closed today,Picture framing shop,4.8,19,1,0,0,1,21,,42 Photos,https://lh5.googleusercontent.com/p/AF1QipNjFWJGpCKJpXIA2YixQt9pyU_9lqMbQFf8_oTA=w408-h272-k-no,,9:30am–5:30pm,9:30am–5:30pm,9:30am–5:30pm,9:30am–5:30pm,9:30am–5:30pm,9:30am–5pm,Closed,"https://www.google.com/maps/place/Images+in+Frames/@51.5610036,-0.1199123,12z/data=!4m8!1m2!2m1!1sart+near+london+E18!3m4!1s0x48761df9c4092af3:0x6f8441046da5d884!8m2!3d51.589378!4d-0.00409?hl=en"
art near london E18,Fudoshin Tattoos,"158 George Ln, South Woodford, London E18 1AY",158 George Ln,South Woodford,London,E18 1AY,H2VF+FX London,fudoshintattoos.com,020 8989 6144,"contact@fudoshintattoos.com,fudoshintattoos@hotmail.com,8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com",51.5936315,0.0249342,No,Yes,Closed today,Tattoo shop,4.7,44,3,1,2,1,51,,69+ Photos,https://lh5.googleusercontent.com/p/AF1QipM-tdkF54btZNnEfIxHx7VoinZM4ZYdnHpsJ2Xb=w408-h408-k-no,,Closed,11am–8pm,11am–8pm,11am–8pm,11am–7pm,11am–6pm,Closed,"https://www.google.com/maps/place/Fudoshin+Tattoos/@51.5610036,-0.1199123,12z/data=!4m8!1m2!2m1!1sart+near+london+E18!3m4!1s0x47d8a420799a6813:0x97b56545f8fe044d!8m2!3d51.5936315!4d0.0249342?hl=en"
art near london E18,Redbridge Drama Centre,"Churchfields, South Woodford, London E18 2RB",Churchfields,South Woodford,London,E18 2RB,"H2XF+F2 South Woodford, London",redbridgedramacentre.co.uk,020 8708 8800,,51.5986626,0.022586,No,Yes,Closed.,Arts Organisation,4.6,12,0,1,0,1,14,,14 Photos,,,9am–10pm,9am–10pm,9am–10pm,9am–9pm,9am–6pm,9am–5:30pm,10am–4pm,"https://www.google.com/maps/place/Redbridge+Drama+Centre/@51.5610036,-0.1199123,12z/data=!4m8!1m2!2m1!1sart+near+london+E18!3m4!1s0x47d8a734db087e2b:0xc2260137c4b2a43f!8m2!3d51.5986626!4d0.022586?hl=en"
art near london E18,Images In Frames,"71 High St, Wanstead, London E11 2AE",71 High St,Wanstead,London,E11 2AE,H2HG+9G London,imagesinframes.com,020 7998 4729,"art@imagesinframes.com,info@imagesinframes.com",51.5784907,0.0262753,Yes,No,Closed.,Art gallery,4.8,17,1,1,0,0,19,,112+ Photos,https://lh5.googleusercontent.com/p/AF1QipPxXL8FZ84m5lfYKb7kLtCcL4ff05irjfAjHKM9=w408-h306-k-no,,10am–6pm,10am–6pm,10am–6pm,10am–6pm,10am–6pm,10am–6pm,11am–4pm,"https://www.google.com/maps/place/Images+In+Frames/@51.5610036,-0.1199123,12z/data=!4m8!1m2!2m1!1sart+near+london+E18!3m4!1s0x47d8a73fd5b0a56f:0x6046d606564170e2!8m2!3d51.5784907!4d0.0262753?hl=en"
art near london E2,East End Prints Shop & Gallery,"234 Brick Ln, London E2 7EB",,234 Brick Ln,London,E2 7EB,GWGH+77 London,eastendprints.co.uk,020 7241 1118,info@eastendprints.co.uk,51.5256535,-0.0718474,No,Yes,Opens at 10:00,Art gallery,4.1,21,10,3,1,4,39,,205+ Photos,https://lh5.googleusercontent.com/p/AF1QipMeqoIyhXmymWP45UJ27Q0lxN2knJVahVdVNTic=w408-h410-k-no,,10am–6pm,10am–6pm,10am–6pm,10am–6pm,10am–6pm,10am–5pm,10am–5pm,"https://www.google.com/maps/place/East+End+Prints+Shop+%26+Gallery/@51.52889,-0.0717589,15z/data=!4m8!1m2!2m1!1sart+near+london+E2!3m4!1s0x48761cb0c6953c27:0xac9f655c65f4db09!8m2!3d51.5256535!4d-0.0718474?hl=en"
art near london E2,Hundred Years Gallery,"13 Pearson St, London E2 8JD",,13 Pearson St,London,E2 8JD,GWMF+6G London,hundredyearsgallery.com,020 3602 7973,,51.5330461,-0.076177,No,Yes,Opens at 12:00,Art gallery,4.4,26,11,1,1,2,41,,56+ Photos,https://lh5.googleusercontent.com/p/AF1QipN5dPNwbqG6umi3_Ct6lMeE1jcaR2qL_xnz7afX=w408-h544-k-no,,Closed,Closed,12–6pm,12–6pm,12–8pm,2–8pm,12–7pm,"https://www.google.com/maps/place/Hundred+Years+Gallery/@51.52889,-0.0717589,15z/data=!4m8!1m2!2m1!1sart+near+london+E2!3m4!1s0x48761cbe836fd205:0x665062655ed4be72!8m2!3d51.5330461!4d-0.076177?hl=en"
art near london E2,Flowers,"82 Kingsland Rd, Hackney, London E2 8DP",82 Kingsland Rd,Hackney,London,E2 8DP,GWHF+V4 London,flowersgallery.com,020 7920 7777,"info@flowersgallery.com,newyork@flowersgallery.com",51.5296856,-0.0771725,No,Yes,Closed,Art gallery,4.6,25,6,1,0,1,33,,23 Photos,https://lh5.googleusercontent.com/p/AF1QipOzI-1EKU_ORqyi3W4AoxUKERVmCLYrY-T4fr16=w858-h240-k-no,,Closed,10am–6pm,10am–6pm,10am–6pm,10am–6pm,10am–6pm,Closed,"https://www.google.com/maps/place/Flowers/@51.52889,-0.0717589,15z/data=!4m8!1m2!2m1!1sart+near+london+E2!3m4!1s0x48761cbbe8ed537b:0xc297e02aa0d57049!8m2!3d51.5296856!4d-0.0771725?hl=en"
art near london E2,Nelly Duff,"156 Columbia Rd, London E2 7RG",,156 Columbia Rd,London,E2 7RG,GWHJ+RF London,nellyduff.com,020 7033 9683,,51.5296068,-0.0688083,Yes,Yes,Opens at 09:00,Art gallery,4.8,50,8,0,0,1,59,,45 Photos,https://lh5.googleusercontent.com/p/AF1QipMpv9-EB3b_6LKBMwjYU9d96_1f4yGOdgDLfOxC=w408-h272-k-no,,9am–6pm,9am–6pm,9am–6pm,9am–6pm,9am–6pm,11am–6pm,9am–5pm,"https://www.google.com/maps/place/Nelly+Duff/@51.52889,-0.0717589,15z/data=!4m8!1m2!2m1!1sart+near+london+E2!3m4!1s0x48761cc7682d1fdd:0xc572042076c3b61b!8m2!3d51.5296068!4d-0.0688083?hl=en"
