unique_key,gmap_category,Name,Full_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Lat,Lng,Virtual_Tour,Claimed,Category,Rating,Reviews,Amenities,Photos,Main_Image_URL,Sub_Title,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL
Clifton Wine School51.4522316-2.5965639,bars clubs,Clifton Wine School,"Radisson BLU Hotel Bristol, Broad Quay, Bristol BS1 4BY",Broad Quay,Bristol,BS1 4BY,FC23+V9 Bristol,cliftonwineschool.com,07854 239926,info@cliftonwineschool.com,51.4522316,-2.5965639,No,Yes,Wine bar,5,12 reviews,,9 Photos,https://lh5.googleusercontent.com/p/AF1QipPSiYNWbaJagv67ZTXxNxb9S55dcCZYrKlDFg4=w408-h408-k-no,,,,,,,,,"https://www.google.com/maps/place/Clifton+Wine+School/@51.4527633,-2.599445,18z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718e1418b29c8b:0x5674d50e8139f3ac!8m2!3d51.4522316!4d-2.5965639?hl=en"
Gravity Nightclub51.4572878-2.6079921,bars clubs,Gravity Nightclub,"78 Queens Rd, Bristol BS8 1QU",78 Queens Rd,Bristol,BS8 1QU,F94R+WR Bristol,gravitynightclub.com,07532 692060,info@gravitynightclub.com,51.4572878,-2.6079921,No,Yes,Nightclub,3.5,36 reviews,,5 Photos,https://lh5.googleusercontent.com/p/AF1QipP_wmmvc6IsNV9ax1oy8KqcI-9pxexk-22IR09m=w408-h408-k-no,,10:30pm–4am,Closed,10:30pm–4am,Closed,Closed,10:30pm–4am,Closed,"https://www.google.com/maps/place/Gravity+Nightclub/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718ddb2a25dd4d:0x6d0fdf53dfc1d9e2!8m2!3d51.4572878!4d-2.6079921?hl=en"
The Full Moon51.4604416-2.5906119,bars clubs,The Full Moon,"1 North St, Bristol BS1 3PR",1 North St,Bristol,BS1 3PR,FC65+5Q Bristol,fmbristol.co.uk,0117 924 5007,,51.4604416,-2.5906119,No,Yes,,4.1,764 reviews,"Free Wi-Fi, Laundry service",420+ Photos,https://lh5.googleusercontent.com/p/AF1QipN1rcXXn285eF_H_q2k-cZPl0Jg1aS464eyUHAc=w408-h544-k-no,,,,,,,,,"https://www.google.com/maps/place/The+Full+Moon/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718e737ecb0eeb:0x9d17d738b461e0ce!8m2!3d51.4604416!4d-2.5906119?hl=en"
Zed Alley51.455499-2.5970599,bars clubs,Zed Alley,"Zed Alley, Bristol BS1 4UA",Zed Alley,Bristol,BS1 4UA,FC43+55 Bristol,facebook.com,07923 827352,,51.455499,-2.5970599,No,Yes,Live Music Bar,4.6,42 reviews,,39 Photos,https://lh5.googleusercontent.com/p/AF1QipMg_9JpnwZkpbfsjpiMFwyh7LcRuv7oY8PObezL=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/Zed+Alley/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718dd81745c67d:0xcaf443a5719a306d!8m2!3d51.455499!4d-2.5970599?hl=en"
The Attic51.4602536-2.5903293,bars clubs,The Attic,"1 North St, Bristol BS1 3PR",1 North St,Bristol,BS1 3PR,FC65+4V Bristol,fmbristol.co.uk,0117 924 5007,,51.4602536,-2.5903293,No,No,Pub,4.2,235 reviews,,38 Photos,https://lh5.googleusercontent.com/p/AF1QipNxwMKwcToqKdGJOezhFiXcquV4jZs5EBHUKMAw=w408-h544-k-no,,12–11pm,12–11pm,12–11pm,12–2am,12–2am,12–2am,12–10:30pm,"https://www.google.com/maps/place/The+Attic/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718e7401fb0789:0x7d97dddafccc4c80!8m2!3d51.4602536!4d-2.5903293?hl=en"
VIP BRISTOL51.4683565-2.6136529,bars clubs,VIP BRISTOL,"61 Apsley Rd, Bristol BS8 2RP",61 Apsley Rd,Bristol,BS8 2RP,F99P+8G Bristol,bristol.ac.uk,07989 147396,"choosebristol-ug@bristol.ac.uk,choosebristol-pg@bristol.ac.uk,international-office@bristol.ac.uk,accom-office@bristol.ac.uk,alumni@bristol.ac.uk,red-office@bristol.ac.uk,public-relations@bristol.ac.uk,graduation-office@bristol.ac.uk",51.4683565,-2.6136529,No,Yes,Bar,4,2 reviews,,2 Photos,//geo0.ggpht.com/cbk?panoid=LGUdO_hI8SXqo4MI7yZ9Bg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=340.457&pitch=0&thumbfov=100,,"10am–6pm, 10pm–2:30am","10am–6pm, 10pm–3am","10am–6pm, 10pm–2:30am","10am–6pm, 10pm–2:30am","10am–6pm, 10pm–4am",Closed,Closed,"https://www.google.com/maps/place/VIP+BRISTOL/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718dea6bf1d57d:0x9d8b18b73bde35b9!8m2!3d51.4683565!4d-2.6136529?hl=en"
Thekla51.448983-2.5941729,bars clubs,Thekla,"The Grove, East Mud Dock, Bristol BS1 4RB",East Mud Dock,Bristol,BS1 4RB,CCX4+H8 Bristol,theklabristol.co.uk,0117 929 3301,office@theklabristol.co.uk,51.448983,-2.5941729,Yes,No,Club,4.4,944 reviews,,320+ Photos,https://lh5.googleusercontent.com/p/AF1QipOUEJk3zhodroqk9itwFQyCUO0fz6Ho8f9IxqYX=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/Thekla/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718e7f48af9a59:0x48be815d3f08f08f!8m2!3d51.448983!4d-2.5941729?hl=en"
Taboo Night Club51.4561444-2.6073766,bars clubs,Taboo Night Club,"10-12 Triangle S, Bristol BS8 1EY",10-12 Triangle S,Bristol,BS8 1EY,F94V+F2 Bristol,taboobristol.com,0117 929 9337,"info@taboobristol.com,8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com",51.4561444,-2.6073766,No,Yes,Night Club,4.2,74 reviews,,33 Photos,https://lh5.googleusercontent.com/p/AF1QipOoW4f9tEUFBSwjoG1e7m0ZVP8MT2zsdw5VkQ0z=w408-h229-k-no,,Closed,Closed,10pm–4:30am,10pm–4:30am,10pm–4:30am,10pm–4:30am,Closed,"https://www.google.com/maps/place/Taboo+Night+Club/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718ddac6975e7f:0x37c8872ccdaf2c49!8m2!3d51.4561444!4d-2.6073766?hl=en"
Megabytes Cafe Within Withywood Centre51.4073143-2.6221049,bars clubs,Megabytes Cafe Within Withywood Centre,"Queens Road, Bristol BS13 8QA",Queens Road,Bristol,BS13 8QA,C94H+W5 Bristol,withywoodcentre.co.uk,0117 987 8400,reception@withywoodcentre.com,51.4073143,-2.6221049,No,No,Bar,3,1 review,,,//geo3.ggpht.com/cbk?panoid=pVfMo-XJzPBKLFxJKw4oeg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=278.0976&pitch=0&thumbfov=100,,,,,,,,,"https://www.google.com/maps/place/Megabytes+Cafe+Within+Withywood+Centre/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718c73fde5719d:0x123fadc5e34d7e3f!8m2!3d51.4073143!4d-2.6221049?hl=en"
OMG51.4533277-2.6016678,bars clubs,OMG,"1-2 Frog Ln, Bristol BS1 5NF",1-2 Frog Ln,Bristol,BS1 5NF,F93X+88 Bristol,omgclubs.com,,,51.4533277,-2.6016678,No,Yes,Gay night club,3.8,44 reviews,,15 Photos,https://lh5.googleusercontent.com/p/AF1QipO0udwYWHYlb2py1Ov_UeCnR_HpkqDPYydRX1ox=w408-h306-k-no,,Closed,Closed,10pm–4am,Closed,10pm–4am,10pm–5am,Closed,"https://www.google.com/maps/place/OMG/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718dd7350260df:0x908adcf38240b51c!8m2!3d51.4533277!4d-2.6016678?hl=en"
Forty Eight51.454404-2.602416,bars clubs,Forty Eight,"48 Park St, Bristol BS1 5JG",48 Park St,Bristol,BS1 5JG,F93X+Q2 Bristol,forty-eight.co.uk,0117 945 0999,"promotions@forty-eight.co.uk,jobs@forty-eight.co.uk,feedback@forty-eight.co.uk,contact@forty-eight.co.uk",51.454404,-2.602416,No,Yes,Nightclub,4,21 reviews,,14 Photos,https://lh5.googleusercontent.com/p/AF1QipPKotSjoBRutL0sBNUcF4gD-VuHhlsyCOzNq-ng=w408-h272-k-no,,Closed,Closed,Closed,Closed,10pm–4am,10pm–4am,Closed,"https://www.google.com/maps/place/Forty+Eight/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718dd0a91f4867:0xf0a906ee564509!8m2!3d51.454404!4d-2.602416?hl=en"
Queenshilling51.4536663-2.6009352,bars clubs,Queenshilling,"9 Frogmore St, Bristol BS1 5NA",9 Frogmore St,Bristol,BS1 5NA,F93X+FJ Bristol,queenshilling.com,0117 927 7070,,51.4536663,-2.6009352,No,Yes,Nightclub,4.2,38 reviews,,19 Photos,https://lh5.googleusercontent.com/p/AF1QipObPyDiYAeaV2Zm6hN6YTi8uYkT7Hvns6mL1PVy=w408-h229-k-no,,9pm–2am,10pm–2am,Closed,10pm–3am,10pm–4am,10pm–4am,Closed,"https://www.google.com/maps/place/Queenshilling/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718dd7465c6a45:0xe3e317b1add8fd72!8m2!3d51.4536663!4d-2.6009352?hl=en"
Cabot Cruising Club51.446551-2.594904,bars clubs,Cabot Cruising Club,"John Sebastian Quay, Bathurst Basin,, Bristol BS1 6SG",,Bristol,BS1 6SG,CCW4+J2 Bristol,cabotcruisingclub.co.uk,0117 926 8318,"commodore@cabotcruisingclub.co.uk,vicecommodore@cabotcruisingclub.co.uk,rearcommodore@cabotcruisingclub.co.uk,hon.secretary@cabotcruisingclub.co.uk,hon.treasurer@cabotcruisingclub.co.uk,membership@cabotcruisingclub.co.uk,events@cabotcruisingclub.co.uk,barchair@cabotcruisingclub.co.uk,bosun@cabotcruisingclub.co.uk,socialsecretary@cabotcruisingclub.co.uk,boatingevents@cabotcruisingclub.co.uk,safety@cabotcruisingclub.co.uk,regalia@cabotcruisingclub.co.uk,website@cabotcruisingclub.co.uk,moorings@cabotcruisingclub.co.uk,newsletter@cabotcruisingclub.co.uk",51.446551,-2.594904,No,Yes,Bar,4.4,27 reviews,,5 Photos,https://lh5.googleusercontent.com/p/AF1QipP23lGnDhfI1xqbnm8TUOio8FlSjj8TsmoimTvR=w408-h306-k-no,,Closed,7:30–9pm,Closed,7:30–11:30pm,Closed,7:30pm–12am,Closed,"https://www.google.com/maps/place/Cabot+Cruising+Club/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718dd5824c310d:0x4ae33bbe7ea0aa78!8m2!3d51.446551!4d-2.594904?hl=en"
Bedminster Down Ex-Service Club51.4249672-2.6185242,bars clubs,Bedminster Down Ex-Service Club,"Winford Grove, Bristol BS13 7DY",Winford Grove,Bristol,BS13 7DY,C9FJ+XH Bristol,,0117 964 3553,,51.4249672,-2.6185242,No,No,Club,4,51 reviews,,30 Photos,https://lh5.googleusercontent.com/p/AF1QipPExFk8TOgSY3gXHGBTDns0Qv79NXtiDZtOAOJX=w408-h229-k-no,,,,,,,,,"https://www.google.com/maps/place/Bedminster+Down+Ex-Service+Club/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718c407c3fb35d:0x961b52121af213da!8m2!3d51.4249672!4d-2.6185242?hl=en"
Hush Hush Bar51.4699454-2.5938409,bars clubs,Hush Hush Bar,"233 Cheltenham Rd, Bristol BS6 5QP",233 Cheltenham Rd,Bristol,BS6 5QP,FC94+XF Bristol,,0117 942 2700,,51.4699454,-2.5938409,No,No,Nightclub,3,1 review,,,//geo2.ggpht.com/cbk?panoid=c4oDlAEoUd5x8Uji4Trweg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=200&yaw=268.05325&pitch=0&thumbfov=100,,,,,,,,,"https://www.google.com/maps/place/Hush+Hush+Bar/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718e0bcb790c59:0x83b89bb5975f57a7!8m2!3d51.4699454!4d-2.5938409?hl=en"
The Doghouse51.4544605-2.5957615,bars clubs,The Doghouse,"Crusader House, 12 St Stephen's St, Bristol BS1 1EL",12 St Stephen's St,Bristol,BS1 1EL,FC33+QM Bristol,facebook.com,07790 442642,,51.4544605,-2.5957615,No,Yes,Nightclub,3.9,35 reviews,,11 Photos,https://lh5.googleusercontent.com/p/AF1QipN453y0Ri96Fwvy-ify7RM20aOQCcHQflbmLEfu=w408-h725-k-no,,Closed,10pm–2am,10pm–2am,Closed,10pm–3:30am,10pm–3:30am,10pm–1am,"https://www.google.com/maps/place/The+Doghouse/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718dd7fe17f53d:0x607de7da82040c4b!8m2!3d51.4544605!4d-2.5957615?hl=en"
Popworld51.4532213-2.595346,bars clubs,Popworld,"16-24 Baldwin St, Avon, Bristol BS1 1SE",Avon,Bristol,BS1 1SE,FC33+7V Bristol,popworldparty.co.uk,0117 945 8891,popworld.birmingham@stonegatepubs.com,51.4532213,-2.595346,Yes,No,Nightclub,3.3,128 reviews,,76+ Photos,https://lh5.googleusercontent.com/p/AF1QipMejh_3PYp2Q4a_yqwiJcIPluZIZxk6a4m4Uls2=w408-h200-k-no-pi-2.9338646-ya137.61615-ro0-fo100,,,,,,,,,"https://www.google.com/maps/place/Popworld/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718e786687871f:0x5a3d3bdb57e964ca!8m2!3d51.4532213!4d-2.595346?hl=en"
The Dojo Bar51.45532-2.6004655,bars clubs,The Dojo Bar,"12-16, Park Row, Bristol BS1 5LJ",Park Row,Bristol,BS1 5LJ,F94X+4R Bristol,,0117 925 1177,,51.45532,-2.6004655,No,No,Nightclub,3.8,20 reviews,,4 Photos,https://lh5.googleusercontent.com/p/AF1QipNKwyBO9PcXzkFFcpm79-fCSa_e8jdonXzLmR1y=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/The+Dojo+Bar/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718dd9e6298487:0xbfcb00546b3c44bc!8m2!3d51.45532!4d-2.6004655?hl=en"
Lizard Lounge51.456988-2.6074178,bars clubs,Lizard Lounge,"66 Queens Rd, Avon, Bristol BS8 1QU",Avon,Bristol,BS8 1QU,F94V+Q2 Bristol,lizardloungebristol.co.uk,0117 949 7778,,51.456988,-2.6074178,No,Yes,Nightclub,4.2,39 reviews,,4 Photos,https://lh5.googleusercontent.com/p/AF1QipOzOzNKmvbTylUZtXAxB-rHzm_lD5Kv_HKcuyE_=w408-h544-k-no,,Closed,10pm–4am,10pm–4am,10pm–4am,10pm–4am,10pm–4am,Closed,"https://www.google.com/maps/place/Lizard+Lounge/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718ddad9848485:0xaf452e2febef2613!8m2!3d51.456988!4d-2.6074178?hl=en"
Lola Lo Nightclub51.4566066-2.6071353,bars clubs,Lola Lo Nightclub,"67 Queens Rd, Bristol BS8 1QL",67 Queens Rd,Bristol,BS8 1QL,F94V+J4 Bristol,lolalobristol.com,020 3475 2278,,51.4566066,-2.6071353,No,No,Nightclub,3.4,49 reviews,,3 Photos,https://lh5.googleusercontent.com/p/AF1QipPPlm9aeo5_VXPcNJaxw8xTnGfZaUxZrVXwhgYs=w408-h306-k-no,,10pm–3am,10pm–3am,10pm–3am,10pm–3am,9pm–3:30am,10pm–3:30am,Closed,"https://www.google.com/maps/place/Lola+Lo+Nightclub/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718ddadb649183:0x3dc93098a68d9666!8m2!3d51.4566066!4d-2.6071353?hl=en"
The Pipe & Slippers51.4646221-2.5896558,bars clubs,The Pipe & Slippers,"118 Cheltenham Rd, Bristol BS6 5RW",118 Cheltenham Rd,Bristol,BS6 5RW,FC76+R4 Bristol,thepipeandslippers.com,0117 942 7711,info@thepipeandslippers.com,51.4646221,-2.5896558,No,Yes,Pub,4.3,283 reviews,,52+ Photos,https://lh5.googleusercontent.com/p/AF1QipNseGTFMfj4dV532BWx2qYeiOFoveom2Oe8Hh4r=w408-h229-k-no,,5pm–12am,5pm–12am,5pm–12am,5pm–1am,3pm–1am,12pm–1am,12pm–12:30am,"https://www.google.com/maps/place/The+Pipe+%26+Slippers/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718e735b3282ff:0xb67a3d0d00a88e11!8m2!3d51.4646221!4d-2.5896558?hl=en"
The Stag & Hounds51.4555719-2.5829116,bars clubs,The Stag & Hounds,"74 Old Market St, Bristol BS2 0EJ",74 Old Market St,Bristol,BS2 0EJ,FC48+6R Bristol,stagandhoundsbristol.co.uk,0117 922 6439,,51.4555719,-2.5829116,No,Yes,Pub,4.1,127 reviews,,27 Photos,https://lh5.googleusercontent.com/p/AF1QipNI2W-qc0ytzVNT5wv4-hZIMoM2NOF1S7X85MSQ=w408-h229-k-no,,4pm–12am,4pm–12am,4pm–12am,4pm–12am,12pm–1am,12pm–1am,12pm–12am,"https://www.google.com/maps/place/The+Stag+%26+Hounds/@51.4371258,-2.6445282,12z/data=!4m9!1m3!2m2!1sbs41+bars+clubs!6e5!3m4!1s0x48718e6ffa54a4fb:0x59ab2d0c988ec258!8m2!3d51.4555719!4d-2.5829116?hl=en"
