unique_key,gmap_category,Name,Full_Address,Street_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Lat,Lng,Virtual_Tour,Claimed,Category,Rating,Reviews,Amenities,Photos,Main_Image_URL,Sub_Title,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,URL
Restaurant Expo1300.49871900406,restaurant,Restaurant Expo,"Bulevardul Carol I, Iași, Romania",Bulevardul Carol I,Iași,Romania,a,"5HP6+R6 Iași, Romania",,,,47.1870147,27.5605212,No,Yes,Breakfast restaurant,4,-30,,14 Photos,https://lh5.googleusercontent.com/p/AF1QipPjjJelxvP2p_0ViUhOtqAsYkeU__GxRYwF0M8I=w408-h271-k-no,,Closed,1–9pm,1–9pm,1–9pm,1–9pm,1–10pm,1–8:30pm,"https://www.google.com/maps/place/Restaurant+Expo/@47.1870147,27.5561438,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafcaf0d0e1497:0x84be7027f30da9f7!8m2!3d47.1870147!4d27.5605212?hl=en"
Meat Up - Stake House1300.72136575114,restaurant,Meat Up - Stake House,"Bulevardul Carol I nr. 26-28, Iași 700505, Romania",Bulevardul Carol I nr. 26-28,Iași 700505,Romania,a,"5HGC+PF Iași, Romania",meatup.ro,+40 232 410 041,,47.1767805,27.5712194,No,No,Steak house,4.2,-53,,43 Photos,https://lh5.googleusercontent.com/p/AF1QipORHCaBpcnmAmKnu5Kczf43zo6nhmCz-6TtGl-_=w426-h240-k-no,,9am–11pm,9am–11pm,9am–11pm,9am–11pm,9am–12am,9am–12am,9am–12am,"https://www.google.com/maps/place/Meat+Up+-+Stake+House/@47.1767805,27.566842,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafbd9c351c3d1:0xac04efeca71386bf!8m2!3d47.1767805!4d27.5712194?hl=en"
Pensiunea Novis1301.93533685722,restaurant,Pensiunea Novis,"Șoseaua Bucium 89, Iași 700275, Romania",Șoseaua Bucium 89,Iași 700275,Romania,a,"4J8M+C2 Iași, Romania",,+40 745 492 777,,47.1160579,27.6325184,No,Yes,,3.9,-118,"Child friendly, Restaurant",75+ Photos,//lh5.googleusercontent.com/proxy/j-eRjkkgVAxSRBffj3aHdD2ZuYgUkKKsofWq8QBAdFeTpknZQarDTtzuYOa9IMUAvIMoeSwp0ti2_f47xlOEToupdNVoq8qv2hznalYeUCyutQWp1tmWPRcsWqXXU4CPGGn0OpSa1t4AhX0K9siURtsAbYvdOQc=w437-h240-k-no,,,,,,,,,"https://www.google.com/maps/place/Pensiunea+Novis/@47.1160579,27.628141,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40caf99c34e7accb:0x1705ed36a464636d!8m2!3d47.1160579!4d27.6325184?hl=en"
Prima Garden1301.00761266408,restaurant,Prima Garden,"Strada Sfântul Sava nr. 2, Iași 700259, Romania",Strada Sfântul Sava nr. 2,Iași 700259,Romania,a,"5H6P+MC Iași, Romania",primagarden.ro,+40 720 500 700,,47.1617388,27.5860824,No,Yes,Restaurant,3.5,-118,,23 Photos,https://lh5.googleusercontent.com/p/AF1QipNe1LCYEGal6XP6CQI-PWsG23xbRItwOxbct1nl=w408-h306-k-no,,8am–11pm,8am–11pm,8am–11pm,8am–11pm,8am–11pm,8am–11pm,8am–11pm,"https://www.google.com/maps/place/Prima+Garden/@47.1617388,27.581705,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb77edaf840d:0x9b77268250b842f4!8m2!3d47.1617388!4d27.5860824?hl=en"
Casa Vânătorului1300.41378339881,restaurant,Casa Vânătorului,"Strada Gen. Toma Dumitrescu nr. 4, Iași, Romania",Strada Gen. Toma Dumitrescu nr. 4,Iași,Romania,a,"5HP5+GJ Iași, Romania",casavanatoruluiiasi.ro,+40 748 200 800,,47.186373,27.559096,Yes,Yes,Restaurant,3.7,"-1,769",,685+ Photos,https://lh5.googleusercontent.com/p/AF1QipMGpQK_F_5HXOTPZXHDivFW7KFyq-OK6lGHV_7J=w408-h272-k-no,,8:30am–12am,8:30am–12am,8:30am–12am,8:30am–12am,8:30am–12am,8:30am–12am,8:30am–12am,"https://www.google.com/maps/place/Casa+V%C3%A2n%C4%83torului/@47.186373,27.5547186,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafcaf3c5ecba7:0x46f69db431eda26!8m2!3d47.186373!4d27.559096?hl=en"
Boulevard Fast Food1300.74639407276,restaurant,Boulevard Fast Food,"Bulevardul Carol I 4, Iași 700259, Romania",Bulevardul Carol I 4,Iași 700259,Romania,a,"5HCG+F2 Iași, Romania",,,,47.1711296,27.5750529,No,No,Restaurant,5,-2,,14 Photos,https://lh5.googleusercontent.com/p/AF1QipO-z2mxChTopr3QDW_ffTd_xFb1DJefw0mifJqe=w408-h544-k-no,,8am–6pm,8am–6pm,8am–6pm,8am–6pm,8am–6pm,Closed,Closed,"https://www.google.com/maps/place/Boulevard+Fast+Food/@47.1525895,27.5879574,16z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafbcbd1955adb:0x1143689df104b3f0!8m2!3d47.1711296!4d27.5750529?hl=en"
Casa Tradiției1300.95505317226,restaurant,Casa Tradiției,"Strada Palas 5C, Iași 700259, Romania",Strada Palas 5C,Iași 700259,Romania,a,"5H4Q+3G Iași, Romania",facebook.com,+40 721 213 950,,47.1551269,27.5888358,No,Yes,Restaurant,3,-46,,22 Photos,https://lh5.googleusercontent.com/p/AF1QipOF5QbLfUiFiFFbiKw0ny2LlTGIURZT2aKG787r=w426-h240-k-no,,10am–10pm,10am–10pm,10am–10pm,10am–10pm,10am–10pm,10am–10pm,10am–10pm,"https://www.google.com/maps/place/Casa+Tradi%C8%9Biei/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb994b4eae05:0x2b7f62062f62f41b!8m2!3d47.1551269!4d27.5888358?hl=en"
Dopo Poco1300.89013096708,restaurant,Dopo Poco,"Strada Cuza Vodă nr. 8, Iași 700259, Romania",Strada Cuza Vodă nr. 8,Iași 700259,Romania,a,"5H8J+6G Iași, Romania",dopopoco.ro,+40 742 530 831,,47.1655397,27.5813685,No,No,Pizza Takeaway,3.9,-25,,14 Photos,https://lh5.googleusercontent.com/p/AF1QipOPi0o24Y0G1FaqrQVkls-I_UHp6Wgzmysq4FbW=w408-h544-k-no,,8am–8pm,8am–8pm,8am–8pm,8am–8pm,8am–8pm,8am–8pm,8am–8pm,"https://www.google.com/maps/place/Dopo+Poco/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb7a39bd4687:0x86443276bdaeec7c!8m2!3d47.1655397!4d27.5813685?hl=en"
Pomodoro | Pizzas Gourmet1300.5239513748,restaurant,Pomodoro | Pizzas Gourmet,"Strada Florilor, Iași, Romania",Strada Florilor,Iași,Romania,a,"5H9C+MH Iași, Romania",,,,47.1692171,27.5714551,No,No,Restaurant,2,-1,,,//geo3.ggpht.com/cbk?panoid=eMNTgkJzbuoGpFxVyywbmw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=329.31003&pitch=0&thumbfov=100,,,,,,,,,"https://www.google.com/maps/place/Pomodoro+%7C+Pizzas+Gourmet/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb643403cc1d:0x9621c34eeae98d97!8m2!3d47.1692171!4d27.5714551?hl=en"
Restaurant Autoservire Mam Mare1301.48474623431,restaurant,Restaurant Autoservire Mam Mare,"Strada Atelierului, Iași, Romania",Strada Atelierului,Iași,Romania,a,"4JW3+XR Iași, Romania",,,,47.1473949,27.6045951,No,No,Restaurant,3.5,-49,,12 Photos,https://lh5.googleusercontent.com/p/AF1QipNg6t7iYpPFoaJ2O9Tbcv0Ykdm6YEH_MtN8FjiK=w408-h725-k-no,,10am–4:30pm,10am–4:30pm,10am–4:30pm,10am–4:30pm,10am–4:30pm,Closed,Closed,"https://www.google.com/maps/place/Restaurant+Autoservire+Mam+Mare/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb9561281ff3:0x510f81ca4538181b!8m2!3d47.1473949!4d27.6045951?hl=en"
Carul cu Burgeri1300.71476393606,restaurant,Carul cu Burgeri,"Bulevardul Carol I, Iași 700506, Romania",Bulevardul Carol I,Iași 700506,Romania,a,"5HGC+2R Iași, Romania",carulcuburgeri.ro,+40 755 180 222,,47.1751067,27.5720577,No,No,Restaurant,4.1,-71,,37 Photos,https://lh5.googleusercontent.com/p/AF1QipPj5EfjP7MNeXx206Tg_wBi0JtZ2Q3iJt7elNTG=w408-h271-k-no,,10am–10pm,10am–10pm,10am–10pm,10am–10pm,10am–10pm,10am–10pm,10am–10pm,"https://www.google.com/maps/place/Carul+cu+Burgeri/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb61b53df733:0xadad5d1b92b5221d!8m2!3d47.1751067!4d27.5720577?hl=en"
Vanille By Anca Obreja1300.22620069807,restaurant,Vanille By Anca Obreja,"Strada Plantelor, Iași, Romania",Strada Plantelor,Iași,Romania,a,"4HPM+FQ Iași, Romania",,,,47.1361722,27.5844673,No,No,Restaurant,5,-2,,,//geo3.ggpht.com/cbk?panoid=PC_67M-9CZtoZeBnRE3E6Q&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=304.03726&pitch=0&thumbfov=100,,,,,,,,,"https://www.google.com/maps/place/Vanille+By+Anca+Obreja/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafbbec16572b3:0x60d074d80b43fcc3!8m2!3d47.1361722!4d27.5844673?hl=en"
Habibi Fast Food1301.14510964554,restaurant,Habibi Fast Food,"Iași, Romania",,Iași,Romania,a,"5H9P+36 Iași, Romania",fastfood-habibi.ro,+40 733 350 303,,47.1676847,27.58552,No,Yes,Restaurant,,,,3 Photos,https://lh5.googleusercontent.com/p/AF1QipOK9AEUnxUMJttHEwFOFfHZrhXSNObHm4aHP8Bh=w426-h240-k-no,,8am–8pm,8am–8pm,8am–8pm,8am–8pm,8am–8pm,8am–8pm,Closed,"https://www.google.com/maps/place/Habibi+Fast+Food/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafbfbdb2d3e1f:0x48834aa1d7bd4b61!8m2!3d47.1676847!4d27.58552?hl=en"
Soup Factory1300.69161434095,restaurant,Soup Factory,"Strada Arcu 21, Iași 700259, Romania",Strada Arcu 21,Iași 700259,Romania,a,"5H8G+JJ Iași, Romania",soupfactory.ro,+40 721 494 616,,47.1665886,27.5765463,No,Yes,Restaurant,5,-2,,3 Photos,https://lh5.googleusercontent.com/p/AF1QipPch1t_ezfg0UlInZ07h41I2ZnLAW3stcTObMB_=w408-h305-k-no,,12–6pm,12–6pm,12–6pm,12–6pm,12–5pm,Closed,Closed,"https://www.google.com/maps/place/Soup+Factory/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb7caa047939:0x46a450dea826bd9a!8m2!3d47.1665886!4d27.5765463?hl=en"
Rompetrol1301.32637307909,restaurant,Rompetrol,"Șoseaua Bucium nr. 16 A, Iași, Romania",Șoseaua Bucium nr. 16 A,Iași,Romania,a,"4JP5+F4 Iași, Romania",rompetrol.ro,+40 372 784 932,,47.1362072,27.6077871,No,Yes,Petrol Station,3.3,-4,,4 Photos,https://lh5.googleusercontent.com/p/AF1QipMoTrtv8yydpB6QDxW-zMb5GVzQ9Y70Mto2088u=w426-h240-k-no,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/place/Rompetrol/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb5c56dc14e5:0x5c753a96299ca2ad!8m2!3d47.1362072!4d27.6077871?hl=en"
Frites - Atelieru' de cartofi1301.12938106393,restaurant,Frites - Atelieru' de cartofi,"Strada Sfântul Teodor 19, Iași, Romania",Strada Sfântul Teodor 19,Iași,Romania,a,"5H8P+W4 Iași, Romania",,+40 746 078 884,,47.1673669,27.5853724,No,No,Restaurant,,,,2 Photos,https://lh5.googleusercontent.com/p/AF1QipNX277tInD_EfzxN5ZKFXTxqdZSRAK4m80p5YaW=w408-h272-k-no,,,,,,,,,"https://www.google.com/maps/place/Frites+-+Atelieru'+de+cartofi/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb07848db0d9:0xc09df3626ac3598f!8m2!3d47.1673669!4d27.5853724?hl=en"
Restaurant Rustic1301.43903055641,restaurant,Restaurant Rustic,"Iași, Romania",,Iași,Romania,a,"4JM6+2W Iași, Romania",bellaria.ro,+40 332 403 518,,47.1325328,27.6123296,No,Yes,Restaurant,4.3,-31,,36 Photos,https://lh5.googleusercontent.com/p/AF1QipNLmf8NdT3J2kBu_-PbNsxF6uktDMzuttaf-5tk=w408-h271-k-no,,10am–12am,10am–12am,10am–12am,10am–12am,10am–12am,10am–12am,10am–12am,"https://www.google.com/maps/place/Restaurant+Rustic/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafbd05ae9af35:0x263d1b31ee688a61!8m2!3d47.1325328!4d27.6123296?hl=en"
Pizzeria Regala1300.15149955028,restaurant,Pizzeria Regala,"Strada Clopotari, Iași, Romania",Strada Clopotari,Iași,Romania,a,"4HQJ+7M Iași, Romania",,+40 332 443 913,,47.1381664,27.5817156,No,No,Restaurant,4.5,-2,,2 Photos,https://lh5.googleusercontent.com/p/AF1QipOfW1-R38i-bFtvphPzH-nYqV2LDJcV4eJmUY6m=w426-h240-k-no,,10am–9pm,10am–9pm,10am–9pm,10am–9pm,10am–9pm,10am–9pm,10am–9pm,"https://www.google.com/maps/place/Pizzeria+Regala/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafbb1ee97820d:0x5a611d7eb4fe7002!8m2!3d47.1381664!4d27.5817156?hl=en"
Mr. Chips1300.82626936146,restaurant,Mr. Chips,"Iași, Romania",,Iași,Romania,a,"5H7J+V6 Iași, Romania",facebook.com,,,47.1646715,27.5805222,No,No,Fast food restaurant,4.3,-4,,5 Photos,https://lh5.googleusercontent.com/p/AF1QipMhK9i2WH8rSWfxEkgVVjkjGR_G98IZlyLx_Q96=w408-h544-k-no,,10am–9pm,10am–9pm,10am–9pm,10am–9pm,10am–9pm,10am–9pm,10am–8pm,"https://www.google.com/maps/place/Mr.+Chips/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafbd7bcfeca59:0x9e82e04bddcc64df!8m2!3d47.1646715!4d27.5805222?hl=en"
Micul Burghez1301.96885495689,restaurant,Micul Burghez,"Strada Moara de Vânt, Iași, Romania",Strada Moara de Vânt,Iași,Romania,a,"5HGX+97 Iași, Romania",,,,47.1759712,27.5981357,No,No,Restaurant,1.5,-2,,,//geo3.ggpht.com/cbk?panoid=gNlJBEFjDHUTELV3vkm8Pw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=179.55592&pitch=0&thumbfov=100,,,,,,,,,"https://www.google.com/maps/place/Micul+Burghez/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafc86d8fa8a99:0xa8fe48765552e908!8m2!3d47.1759712!4d27.5981357?hl=en"
Sinbad1301.15500127579,restaurant,Sinbad,"Strada Sfântul Teodor nr. 28, Iași, Romania",Strada Sfântul Teodor nr. 28,Iași,Romania,a,"5H8P+V9 Iași, Romania",,,,47.1672364,27.5859919,No,No,Restaurant,3.8,-10,,,//geo0.ggpht.com/cbk?panoid=CMCb2FMx0WQZWpoq8cu6mA&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=20.534678&pitch=0&thumbfov=100,,8am–7pm,8am–7pm,8am–7pm,8am–7pm,8am–7pm,Closed,Closed,"https://www.google.com/maps/place/Sinbad/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb794fd43bed:0x8e50d7171f986da0!8m2!3d47.1672364!4d27.5859919?hl=en"
Dopo Poco1301.71899329646,restaurant,Dopo Poco,"Centrul Comercial Felicia, Strada Bucium nr. 36, Iași 700282, Romania","Centrul Comercial Felicia,  Strada Bucium nr. 36",Iași 700282,Romania,a,"4JV6+VF Iași, Romania",dopopoco.ro,+40 759 254 238,,47.1446466,27.611173,No,No,Pizza Takeaway,3.6,-80,,3 Photos,https://lh5.googleusercontent.com/p/AF1QipN17KNBMhgP8CVfdA10bh6lmMpAvqyHVt-us16Z=w408-h306-k-no,,,,,,,,,"https://www.google.com/maps/place/Dopo+Poco/@47.1526102,27.5748252,14z/data=!4m9!1m3!2m2!1srestaurant+near+Podu+Ro%C8%99,+Ia%C8%99i,+Romania!6e5!3m4!1s0x40cafb9292628d2d:0x16d2c539b6146ee7!8m2!3d47.1446466!4d27.611173?hl=en"
